rank,address,balance_satoshi,balance_btc
221,14E4jGTvz1Jfbv4bzkDtieTzYA66x9J7GF,66600,0.000666
222,1PLADopScsAUwtBkL68zNKKT61bQhbsQSa,62535,0.00062535
223,1EyArywoLEhFto6uKWMxA9QKXJWLTNghsz,62401,0.00062401
224,1P9xNaECSD8oR7mn18tB4DiSQ3Zf52vuVx,61213,0.00061213
225,1731hccvVi421tvaLJS8Tx93JicSggbT3p,54846,0.00054846
226,1MYA4KGKLttjKWyAHem2YLygU4ceu97FPq,50000,0.0005
227,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,42616,0.00042616
228,1BADznNF3W1gi47R65MQs754KB7zTaGuYZ,30000,0.0003
229,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,29368,0.00029368
230,16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,22660,0.0002266
231,19dENFt4wVwos6xtgwStA6n8bbA57WCS58,20000,0.0002
232,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,19197,0.00019197
233,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,17289,0.00017289
234,15MZvKjqeNz4AVz2QrHumQcRJq2JVHjFUz,16984,0.00016984
235,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,16433,0.00016433
236,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,15743,0.00015743
237,15YMdTNT83UJqfpaZfDccy9yBYQFxHxVFt,14760,0.0001476
238,17etv2L3nhk6SCcWSNW4eoZkBy84izAm17,14149,0.00014149
239,16jZZkMYqjUWUtQ9DfDvHdH5ko5BcnH9XQ,13602,0.00013602
240,17Tf4bVQaCzwWrDWGRPC97RLCHnU4LY8Qr,13602,0.00013602
241,18M1Z337NqLtK9V69bssnQUYsvb7hmfSFS,13602,0.00013602
242,16w6sZBDP58yyeyZAcvnxcEGJpwR9amM6g,13602,0.00013602
243,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,13559,0.00013559
244,12T4oSNd4t9ty9fodgNd47TWhK35pAxDYN,13055,0.00013055
245,15kNZcrhxeFZgVVLK2Yjzd69tRidbFdJEZ,13055,0.00013055
246,15QcKCa84ZCHxbsqXDoKhi5XbmQB8jPEAd,13055,0.00013055
247,13dXFMyG22EsUsvaWhCqUo7SXuX7rBPog6,13055,0.00013055
248,13Wv5hGhubAWgSPWtXYh6s1s7HX2N1psYg,13055,0.00013055
249,13xGCc4TPSYY9GYxBGVNox82KxyjkFnxMX,13055,0.00013055
250,13sXfpp2V16nnxYvW9FHHoBdMa3k98uJw8,13055,0.00013055
251,156HpsWfgkWYLT63uhTAGUSUF3ZMnB9WWj,13055,0.00013055
252,15U4VsmWG1cdXAtizvQsW4r7iMxzp64Tgu,13055,0.00013055
253,14mP6caC5dFhHdVAPCjPKM8Nm36MBDR5pM,12508,0.00012508
254,15SeCwVCFx5cWyrcdD1Zp1D1zxjH2SELPg,12508,0.00012508
255,14USZ558Rr28AZwdJQyciSQkN4JT1cEoj2,12508,0.00012508
256,325QCgb5ffSUvQCVWcFC8uUUhdS5XhkQkd,12051,0.00012051
257,12KkeeRkiNS13GMbg7zos9KRn9ggvZtZgx,11961,0.00011961
258,12yEYfcSsMfDwMehRcKcSuSrQBPCKcMVUc,11899,0.00011899
